,Requirement,Services
17,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,"Amazon Cognito,Amazon RDS,Amazon Lambda"
18,The Disputes System shall provide view access capability for authorized users of the application.,"Amazon Cognito,Amazon Lambda"
19,The Disputes System shall provide update access capability for authorized users of the application.,"Amazon Cognito,Amazon Lambda"
20,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SNS,Amazon SES"
21,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,
22,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SNS"
23,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront"
24,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,"Amazon S3,Amazon RDS,Amazon Lambda"
25, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SNS,Amazon SES"
26,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SNS,Amazon SES"
27, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SNS,Amazon SES"
28,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,
29, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SNS,Amazon SES"
30,The Disputes System must provide the ability to view existing dispute cases.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront"
31, The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon ElasticSearch"
32,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon ElasticSearch"
33,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,"Amazon RDS,Amazon Lambda,Amazon S3"
34,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,"Amazon SES,Amazon RDS,Amazon Lambda,Amazon S3"
35, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,"Amazon RDS,Amazon Lambda,Amazon CloudTrail,Amazon X-Ray"
36, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,"Amazon RDS,Amazon Lambda,Amazon Cognito,Amazon SNS"
37,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,
38,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,"Amazon RDS,Amazon Lambda"
39,The product must support Internet Explorer 5.5 and above.,"Amazon S3,Amazon Cloudfront"
40,The product must support Mozilla Firefox 1.0 and above.,"Amazon S3,Amazon Cloudfront"
41,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,"Amazon S3,Amazon Cloudfront"
42,The product shall run on the existing hardware for all environments.,"Amazon ECS,Amazon EKS"
43,The product shall adhere to the corporate Architecture guidelines,Amazon Well-Architected Tool
44,The product shall comply with corporate User Interface Guidelines,"Amazon S3,Amazon Cloudfront"
45,The product shall comply with corporate color scheme,"Amazon S3,Amazon Cloudfront"
46,The appearance of the product shall appear professional,"Amazon S3,Amazon Cloudfront"
47,The software product is expected to run on Windows or Linux platforms.,"Amazon ECS,Amazon EKS"
48,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,"Amazon S3,Amazon Cloudfront"
49,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,"Amazon S3,Amazon Cloudfront"
50,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,"Amazon S3,Amazon Cloudfront"
51,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,"Amazon S3,Amazon Cloudfront"
52,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,"Amazon S3,Amazon Cloudfront"
53,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,"Amazon Lambda,Amazon ElasticSearch"
54,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,"Amazon Lambda,Amazon ElasticSearch"
55,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,"Amazon S3,Amazon Cloudtrail"
56,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,"Amazon RDS,Amazon DynamoDB,Amazon Lambda"
57,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront"
58,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront"
59,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,"Amazon Lambda,Amazon EC2,Amazon ECS,Amazon EKS,Amazon ElasticLoadBalancer,Amazon ApiGateway"
60, The average number of recycled parts records per day shall be 50 000.,
61, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,"Amazon Lambda,Amazon EC2,Amazon ECS,Amazon EKS,Amazon ElasticLoadBalancer,Amazon ApiGateway"
62, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,
63,The product shall interface with the ChoiceParts system once per day at approximately 1,
64,The maintenance of the product will fall within the established corporate maintenance windows.,Amazon SystemsManager
65,The product shall be supported using the corporate support center.,Amazon Connect
66,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,Amazon SystemsManager
67,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,"Amazon Cognito,Amazon IAM,Amazon CloudTrail"
68,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,"Amazon Cognito,Amazon IAM,Amazon RDS,Amazon Lambda"
69,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,"Amazon RDS,Amazon Lambda"
70,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,"Amazon RDS,Amazon Lambda,Amazon Cognito"
71,One insurance company shall not be able to view another insurance companys claim data.,"Amazon RDS,Amazon Lambda"
72,The product shall free of computer viruses.,"Amazon Inspector,Amazon GuardDuty,Amazon WAF"
73,The system shall prevent malicious attacks including denial of service.,Amazon WAF
74,The product must comply with Sarbanes-Oxley.,
75,The product shall comply with the estimatics laws relating to recycled parts usage.,
76,The product shall comply with insurance regulations regarding claims processing.,
77, The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,"Amazon Kinesis,Amazon ElasticSearch"
78, The vehicle data shall include vehicle year  make  and model,"Amazon RDS,Amazon Kinesis"
79, The vehicle location shall include street address  city  state  and zipcode,Amazon RDS
80, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,
81,The search radius shall be between 1 and 30 miles,Amazon ElasticSearch
82,The system shall locate the preferred repair facility with the highest ratings for the input criteria,"Amazon RDS,Amazon Lambda"
83,The adjuster shall enter the preferred repair facility on the estimate assignment.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront"
84,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront"
85,The preferred repair facility shall be returned to the user.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
86,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,
87,The estimator shall search for available recycled parts using damaged vehicle parts information.,"Amazon ElasticSearch,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
88,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,"Amazon ElasticSearch,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
89,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,"Amazon ElasticSearch,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
90,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,"Amazon ElasticSearch,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
91,The system shall retain the available recycled parts and suppliers returned from the search.,"Amazon ElasticSearch,Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
92,The available recycled parts information and their suppliers shall be returned to the user.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
93,The estimator shall apply selected recycled parts to the collision estimate.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
94,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,
95,The adjuster shall review the collision estimate.,
96,The adjuster shall request a recycled parts audit of the collision estimate.,"Amazon CloudTrail,Amazon Cloudwatch,Amazon X-Ray"
97,The recycled parts search results provided to the estimator shall be retrieved by the system.,"Amazon ElasticSearch,Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront,Amazon SES"
98,The system shall generate an audit report based on the available recycled parts and the collision estimate.,"Amazon CloudTrail,Amazon Cloudwatch"
99,The audit report shall include the total number of recycled parts used in the estimate.,"Amazon CloudTrail,Amazon Cloudwatch"
100,The audit report shall include the number of available recycled parts from the original search results.,"Amazon CloudTrail,Amazon Cloudwatch"
101, The audit report shall include the percentage of available recycled parts used in the estimate,"Amazon CloudTrail,Amazon Cloudwatch"
102,The audit report shall include the total score of the audit which sums the indivual line items.,"Amazon CloudTrail,Amazon Cloudwatch"
103,The audit report shall be displayed to the user.,"Amazon CloudTrail,Amazon Cloudwatch,Amazon S3"
104,The audit report shall be available to other adjusters at later points in time.,"Amazon CloudTrail,Amazon Cloudwatch"
105,The user shall select to view the preferred repair facility ratings.,"Amazon S3,Amazon CloudFront"
106,The current repair facility ratings shall be displayed to the user.,"Amazon S3,Amazon CloudFront,Amazon Lambda"
107,The system will display a blank set of ratings if there are not ratings yet defined.,"Amazon S3,Amazon CloudFront,Amazon Lambda"
108,The user shall enter new ratings based on the audit report,"Amazon CloudTrail,Amazon CLoudwatch,Amazon Lambda"
109,The ratings shall be from a scale of 1-10,
110,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,"Amazon RDS,Amazon Lambda"
111,The user shall select to save the preferred repair facility ratings.,"Amazon RDS,Amazon Lambda"
112,The preferred repair facility ratings shall be saved by the system.,"Amazon RDS,Amazon Lambda"
113, The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,Amazon RDS
114,The product will function alongside server software on any operating system where the Java runtime can be installed.,"Amazon ECS,Amazon EKS,Amazon EC2"
115,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,Amazon RDS
116, The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,"Amazon ECS,Amazon EKS,Amazon EC2, Amazon Lambda"
117, A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,Amazon RDS
118, The product s Look and Feel shall be able to incorporate aspects of the customer s organization such as logo  branding  and identity,"Amazon S3,Amazon CloudFront"
119,The product shall have a conservative and professional appearance.,"Amazon S3,Amazon CloudFront"
120,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,"Amazon S3,Amazon CloudFront,Amazon CloudTrail"
121,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon RDS"
122,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon RDS"
123,The product shall allow the user to select a chosen language from one of the target market countries.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon RDS,Amazon Route53"
124,The product shall allow for customization of start page and views preferences.,"Amazon S3,Amazon CloudFront"
125, An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon RDS"
126,The product shall use a standard navigation menu familiar to most web users.,"Amazon S3,Amazon CloudFront"
127,The product shall allow for intuitive searching of available conference rooms.,"Amazon ElasticSearch,Amazon Lambda,Amazon S3,Amazon Cloudfront"
128,The product shall conform to the Americans with Disabilities Act.,
129,The response shall be fast enough to avoid interrupting the user s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,"Amazon ElasticSearch,Amazon Lambda,Amazon S3,Amazon Cloudfront"
130, Aside from server failure  the software product shall achieve 99.99% up time.,"Amazon RDS,Amazon Lambda,Amazon S3,Amazon Cloudfront"
131,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,"Amazon Cloudwatch,Amazon S3"
132, The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon EC2, Amazon ECS,Amazon EKS"
133, The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon EC2, Amazon ECS,Amazon EKS"
134,The product shall be expected to operate for at least 5 years for each customer installation.,
135,The product shall be used in office environments.,"Amazon S3,Amazon CloudFront,Amazon Lambda,Amazon RDS"
136,"Amazon S3,Amazon CloudFront,Amazon Lambda",
137,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,"Amazon RDS,Amazon Lambda"
138,The product must be able to interface with various email servers. The product shall be able to send email.,Amazon SES
139,The product shall be available for distribution via the Internet as a binary or ZIP file.,Amazon S3
140,The product shall be available for distribution as a packaged CD.,
141, The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,Amazon EC2
142,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,"Amazon Cognito,Amazon Lambda"
143,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,"Amazon S3,Amazon CloudFront,Amazon Lambda"
144,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product s software code.,"Amazon RDS,Amazon S3,Amazon CloudFront,Amazon Lambda"
145,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,Amazon SystemsManager
146,Every registered user will have access to the product s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,"Amazon Cognito,Amazon Lambda"
147,The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,"Amazon S3,Amazon CloudFront,Amazon Lambda, Amazon RDS"
148, The product shall be translated into foreign languages other than the target market countries  languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market s language.,"Amazon S3,Amazon RDS"
149, The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,Amazon RDS
150,The product shall be able to be installed in any operating environment within 2 days.,"Amazon ECS,Amazon EKS,Amazon EC2"
151,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,"Amazon Cognito,Amazon Lambda"
152,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,"Amazon Cognito,Amazon Lambda,Amazon ElasticSearch,Amazon RDS"
153,The product shall ensure that the database s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,"Amazon RDS,Amazon Lambda"
154,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems  data shall remain 100% uncorrupted each time malicious data is input into the product.,"Amazon WAF,Amazon GuardDuty"
155,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,"Amazon RDS,Amazon Lambda,Amazon EFS"
156,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,Amazon AppSync
157,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
158,The product shall be able to display calendar dates and times according to the user s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
159,The product must be developed with the J2SE/J2EE programming language libraries,"Amazon EC2,Amazon Lambda,Amazon EKS,Amazon ECS"
160,The product shall record meeting entries.,"Amazon RDS,Amazon Lambda"
161,The product will notify employees of meeting invitations.,"Amazon SES,Amazon SNS"
162,The product shall have the ability to send meeting reminders to employees.,"Amazon SES,Amazon SNS,Amazon Lambda"
163,The product shall assign the organizers contact information to each meeting they create.,"Amazon SES,Amazon SNS,Amazon Lambda"
164,The product will record meeting acknowledgements.,"Amazon SES,Amazon SNS,Amazon Lambda"
165,The product shall store new conference rooms.,"Amazon S3,Amazon Lambda,Amazon MediaConverter"
166,The product shall update existing conference rooms.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
167,The product will be able to delete conference rooms.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
168,The product shall be able to store new room equipment.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
169,The product will update existing room equipment.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
170,The product shall be able to delete room equipment.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
171,The product shall allow an organizer to invite other employees to meetings.,"Amazon SES,Amazon SNS,Amazon Lambda,Amazon S3,Amazon CloudFront"
172, Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
173,The product shall record the transportation status of equipment reserved.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
174,The product shall display a map of the company building showing conference room locations.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
175,The product shall record updated meeting agendas.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
176,The product shall send a meeting confirmation to the meeting organizer.,"Amazon SES,Amazon SNS,Amazon Lambda,Amazon S3,Amazon CloudFront"
177,The product shall display room equipment according to search parameters.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
178,The product shall display conference rooms according to search parameters.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
179,The product shall record different meeting types.,"Amazon S3,Amazon Lambda,Amazon MediaConverter"
180,The product shall record all the equipment that has been reserved.,"Amazon S3,Amazon Lambda,Amazon MediaConverter"
181,The product shall notify building personnel of equipment transport requests.,"Amazon SES,Amazon SNS,Amazon Lambda,Amazon S3,Amazon CloudFront"
182,The product will allow priviledged users to view meeting schedules in multiple reporting views.,"Amazon Cognito,Amazon RDS,Amazon Lambda,Amazon S3,Amazon CloudFront"
183,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,"Amazon SES,Amazon SNS,Amazon Lambda"
184,The product shall have a customizable Look and Feel.,"Amazon S3,Amazon CloudFront,Amazon Amplify"
185,The product shall have an intuitive user interface.,"Amazon S3,Amazon CloudFront,Amazon Amplify"
186,The product will display an available status for unreserved conference rooms.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
187,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
188,The System shall allow for a minimum of  6 users to work at the same time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
189,The System shall utilize currently owned computer equipment.,
190,The System shall be able to automatically backup business data and restore them on demand.,"Amazon S3,Amazon RDS,Amazon DynamoDB"
191,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,"Amazon Cognito,Amazon IAM"
192,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,"Amazon Cognito,Amazon IAM"
193,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,"Amazon CloudTrail,Amazon CloudWatch"
194,The System shall not require additional third party licenses resulting in royalty fees.,
195,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
196,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
197,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
198, The System shall allow entering  storing and modifying product formulas.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
199, Product formulas shall allow use of semi-products  which have own formulas.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
200,Product formula ingredients shall allow defining substitutionary ingredients.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
201,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
202,Formula substitutionary ingredients shall be kept in persisted order,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
203, Product shall allow entering  storing and modifying product menus used by POS terminals.,"Amazon RDS,Amazon Lambda,Amazon DynamoDB"
204,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
205,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
206,PME Subsystem shall allow for a product to exist in more than one submenu,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
207,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,"Amazon Amplify,Amazon RDS,Amazon Lambda"
208,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,"Amazon S3,Amazon RDS,Amazon Lambda,Amazon EventBridge"
209,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,"Amazon S3,Amazon RDS,Amazon Lambda,Amazon EventBridge"
210,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,"Amazon RDS,Amazon Lambda"
211, Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
212,System shall let customers register on the website as a  pay as you go  user in under 5 minutes.,"Amazon Cognito,Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
213,System shall let customers register on the website as a  unlimited movie subscriber  user in under 10 minutes.,"Amazon Cognito,Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
214,System shall let existing customers log into the website with their email address and password in under 5 seconds.,"Amazon Cognito,Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
215, System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,"Amazon Cognito,Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
216,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,"Amazon Cognito,Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
217,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
218,System shall let the administrator add/remove categories on the website in under 5 minutes.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
